location,amount
300 WAVERLY AVE,17835
200 WALNUT PL,10780
100 MARSHALL ST,6880
700 COMSTOCK AVE,6845
200 BANK ALLEY,5830
900 WALNUT AVE,5630
300 MONTGOMERY ST,5500
900 MADISON ST,5430
300 WALNUT PL,5200
300 SALINA ST S,4770
300 WARREN ST S,4705
100 COMSTOCK AVE,4640
1000 MADISON ST,4510
100 DELL ST,3990
1000 EILEEN COLLINS BLVD,3985
700 LIVINGSTON AVE,3970
800 ACKERMAN AVE,3740
300 WASHINGTON ST E,3720
200 WALTON ST,3710
700 WALNUT AVE,3420
200 WASHINGTON ST W,3195
600 STATE ST S,3055
700 IRVING AVE,3025
400 MARSHALL ST,3015
400 WARREN ST S,2940
600 WALNUT AVE,2900
200 JEFFERSON ST W,2900
900 FAYETTE ST E,2870
500 WALNUT AVE,2855
200 COMSTOCK AVE,2810
800 WALNUT AVE,2810
800 LANCASTER AVE,2785
100 WALNUT PL,2735
700 CROUSE AVE S,2735
400 MONTGOMERY ST,2710
200 JEFFERSON ST E,2700
300 ONONDAGA ST E,2685
300 FORMAN AVE,2495
200 MARSHALL ST,2480
100 REMINGTON AVE,2395
900 ACKERMAN AVE,2335
1400 SALT SPRINGS RD,2330
800 SUMNER AVE,2325
200 PROSPECT AVE,2325
800 LIVINGSTON AVE,2270
200 EUCLID AVE,2210
700 STATE ST S,2035
400 SALINA ST S,2020
1000 MCBRIDE ST S,1980
200 WARREN ST S,1975
200 DORCHESTER AVE,1960
400 LAUREL ST E,1900
700 LANCASTER AVE,1875
700 FAYETTE ST E,1865
800 MARYLAND AVE,1855
100 REDFIELD PL,1815
200 MADISON ST,1790
200 WATER ST E,1750
900 LANCASTER AVE,1720
400 GENESEE ST E,1710
400 BOYDEN ST,1700
300 JEFFERSON ST W,1700
500 MONTGOMERY ST,1685
200 GENESEE ST W,1680
100 ASHWORTH PL,1670
100 WAYNE ST,1645
700 SUMNER AVE,1640
1100 MADISON ST,1635
100 WASHINGTON ST E,1605
300 GREEN ST,1600
200 SALINA ST S,1595
700 MARYLAND AVE,1575
700 EUCLID AVE,1555
600 WILLIS AVE,1525
100 JEFFERSON ST E,1500
900 MCBRIDE ST S,1490
400 PROSPECT AVE,1465
300 TENNYSON AVE,1465
800 CROUSE AVE S,1465
600 CROUSE AVE S,1450
100 MADISON ST,1450
100 WARREN ST S,1435
100 WALTON ST,1430
400 ULSTER ST,1420
200 ASH ST,1405
100 CLARENDON ST,1385
300 EUCLID AVE,1385
401 MONTGOMERY ST,1385
100 BANK ALLEY,1370
700 TOWNSEND ST N,1350
200 FAYETTE ST W,1335
300 TURTLE ST,1325
100 OSTROM AVE,1310
800 MADISON ST,1285
300 OTISCO ST,1280
500 CLINTON ST S,1275
600 PARK AVE,1275
100 JUDSON ST,1275
100 BURNET AVE,1265
100 JEFFERSON ST W,1250
100 CLIFTON PL,1250
600 TOWNSEND ST N,1245
300 WHITTIER AVE,1245
700 ACKERMAN AVE,1240
500 WARREN ST S,1220
100 FORDHAM RD,1210
200 TENNYSON AVE,1205
100 THORNDON PARK,1200
400 CROUSE AVE S,1200
300 CLINTON ST S,1190
200 WOODBINE AVE,1180
1200 MADISON ST,1180
100 BELLE AVE,1135
200 HAWLEY AVE,1135
100 JOHN ST,1115
800 UNIVERSITY AVE,1100
300 FRANKLIN ST S,1095
200 WHITTIER AVE,1095
100 GREEN ST,1095
200 GENESEE PK DR,1090
200 LEXINGTON AVE,1085
 CITY LOT 21,1085
100 OLIVE ST,1080
100 ELDORADO ST,1080
900 HARRISON ST,1070
100 WOODBINE AVE,1060
511 STATE ST S,1050
100 BRYANT AVE,1045
200 CLINTON ST N,1045
100 HERBST AVE,1040
300 FAYETTE ST W,1035
300 WASHINGTON ST W,1035
300 ROOSEVELT AVE,1000
500 COMSTOCK AVE,1000
100 COMSTOCK PL,1000
